,user,Clase,degree,betweenness,eigenvector,closeness,pagerank,harmonic
41,1121417863623917568,0,1.0,0.0,0.003421576953187542,0.261326703612617,8.182095462122652e-06,0.2676226610145385
43,885711979343687680,0,1.0,0.0,0.0036184497441075726,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
44,1346497737748078594,0,17.0,0.0,0.002627922177743655,0.27319154302046994,7.833497035719092e-06,0.28196643490687506
46,1111696053416443904,0,1.0,0.0,0.010008574200116277,0.2847535596933187,8.848769481303885e-06,0.2983786383720994
48,1337480038627864577,0,15.0,0.0,9.41423901053786e-06,0.20543225745276011,9.898429513304706e-06,0.20842704829869596
49,737702585277222912,0,3.0,12286.801799846844,0.008590935520693028,0.28465379056628565,3.7889546246499784e-05,0.3059193877807302
50,1272682283259101185,0,4.0,0.0,0.009731960881970526,0.27076173217521715,8.661746981188381e-06,0.28654820831829103
51,145423533,0,2.0,0.0,0.0036184497441075726,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
52,1308513159171407880,0,36.0,848.1359073278235,0.00293599441210649,0.28366199436996736,1.1118562211537558e-05,0.29305758460071724
53,2947569093,0,3.0,10.056736295007465,0.007900801005024258,0.28178651945199146,1.6064543652985637e-05,0.30289963016538773
54,523977958,0,4.0,0.0,0.0036184497441075713,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
55,2407572261,0,14.0,233961.00000000087,0.0005552006788529241,0.2590990631851704,7.043621662713454e-05,0.2684294233285772
57,2249096742,0,14.0,2406.0808748250442,0.022383648428266706,0.30059198051397473,2.6581951362614537e-05,0.3230863063082152
58,2284297460,0,12.0,33477.232546984706,0.012035654410156313,0.30540371211527917,5.318419346791431e-05,0.32712974961080893
59,999002735520468992,0,47.0,2217.505954308064,0.009169516579900016,0.29943333640468073,4.365845316132333e-05,0.3186418000451733
60,1290051460810629122,0,4.0,0.0,0.007389716765238944,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
61,1090029548257857536,0,1.0,0.0,0.00012314346154392519,0.2355047738678294,6.758205374657415e-06,0.24099466884590864
63,1239291711299428353,0,7.0,0.0,0.0005283377103735882,0.268648387985671,8.004634893062294e-06,0.27434701637641806
64,484349869,0,142.0,0.0,0.00010754587479113088,0.23951577240566038,7.035929932398503e-06,0.2389853956608783
66,510740590,0,384.0,0.0,0.0071622303221512106,0.27650583188570216,8.619753751276304e-06,0.2883822158728969
67,172417422,0,5.0,0.0,0.003219979913157786,0.2549590072832355,9.049456139387932e-06,0.26223624905633436
68,1186080397626658816,0,1.0,0.0,0.000820473376113433,0.24208206592587994,8.361105489803714e-06,0.24268167781203176
69,3107864708,0,13.0,59.021178453311684,0.001468518938168427,0.26983808469416,1.554566380097821e-05,0.27578749884845183
70,2229279600,0,38.0,29.215290789485582,0.00046071166292187743,0.2354663800598976,1.2122684801183224e-05,0.2430381416618972
71,1426566756,0,8.0,262.6271773003698,0.0011391613664180184,0.25085877494306996,1.7920111888495367e-05,0.25787118963283967
72,1342088166,0,1.0,0.0,0.0005347885355495308,0.2797529376318168,7.895184980917892e-06,0.2836534239314587
73,962815988336119810,0,1.0,4694.022010480892,0.0197405350820868,0.3041650417284143,1.3741672241367039e-05,0.32410601367102854
74,152398844,0,5.0,1581.304628771084,0.008329347542402953,0.29474853748129337,2.2649011699009782e-05,0.3146762481468984
75,70596691,0,1.0,26260.123672951988,0.00032020516740229325,0.258121525019857,2.081266926150892e-05,0.2635284566854733
76,1865275226,0,3.0,0.0,0.009731960881970522,0.27076173217521715,8.661746981188381e-06,0.28654820831829103
77,1030600807094382592,0,2.0,86187.75896360505,0.004140353109160025,0.2996334969919093,7.73409129025766e-05,0.30299893871467243
78,183031741,0,2.0,0.0,0.007389716765238937,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
79,145010134,0,88.0,0.0,0.007162230322151213,0.27650583188570216,8.619753751276304e-06,0.2883822158728969
80,918893305664098304,0,33.0,2.770475225304847,0.00038982687860108134,0.23456701012324738,1.1025713807615651e-05,0.24136544070463556
81,140374618,0,2.0,697311.5780038063,0.010435612969470499,0.3028046526796391,2.768021402686845e-05,0.31525259667921074
82,1180936849,0,12.0,0.0,0.0001409741303033365,0.23762430535244222,6.664360022139948e-06,0.24397923972731086
83,4470440536,0,67.0,0.0,0.007389716765238941,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
86,542672934,0,1.0,5831.314888992882,0.008726425984375463,0.2994034503143978,3.469012697502381e-05,0.3185928038392385
87,153552401,0,23.0,0.0,0.010399559525561477,0.3002101632807027,1.3005268227660262e-05,0.31300732609932186
88,869206764704731136,0,57.0,0.0,9.458801394056751e-05,0.22739173279999067,7.378715614119318e-06,0.23380905717895725
90,1299899337087033345,0,2.0,0.0,0.007162230322151213,0.27650583188570216,8.619753751276304e-06,0.2883822158728969
91,939907866894401536,0,6.0,0.0,0.002627922177743657,0.27319154302046994,7.833497035719092e-06,0.28196643490687506
92,886020561989718016,0,7.0,36401.22708163333,0.012953259721357909,0.2832725582206209,2.0284260607756415e-05,0.3026120541435106
93,2468581307,0,7.0,0.0,0.007389716765238943,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
94,2377961704,0,1.0,0.0,0.010008574200116273,0.2847535596933187,8.848769481303885e-06,0.2983786383720994
96,973491850530164736,0,4.0,0.0,1.544350566158306e-05,0.2144259266386975,6.925925813673895e-06,0.2147842112965888
97,1272713534078619648,0,134.0,39013.29060128181,0.0009763026089106013,0.25498067882386016,2.4265346488213283e-05,0.26362707725383727
98,1250601378872991745,0,14.0,0.0,0.005004827192851192,0.268020618556701,8.95388826531035e-06,0.278221874442958
99,1099369944960110592,0,1.0,0.0,0.007389716765238939,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
100,1399456345,0,36.0,0.0,0.009731960881970526,0.27076173217521715,8.661746981188381e-06,0.28654820831829103
101,2649013430,0,3.0,0.0,0.0036184497441075726,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
