,comunidad_1
437,3362382382
438,305344070
439,1245724621258842114
440,49465548
441,897218600037212161
442,346256284
443,259895860
444,1102184689492807680
445,965324097428377600
446,99124127
447,94808628
448,908452741701398528
449,1187498598004674560
450,89798737
451,1328102698235949058
452,146144286
453,150080166
454,952446068
455,127661797
456,891007963820961793
457,942508231930327041
458,1263164115650056195
459,3365331527
460,952377630468247554
461,775105460865265664
462,315481931
463,173284970
464,162038634
465,85707552
466,2894532125
467,3718817721
468,720468266548924416
469,888917884663197696
470,138058517
471,1004175317924306945
472,1346602747089580033
473,912665575
474,950957247164755968
475,987885930
476,717840063984504836
477,1049416545850535938
478,365856900
479,2150050759
480,1259856222922162180
481,40099100
482,189975266
483,1039715071893618689
484,332003162
485,921361584
486,1244422864109010947
487,30650572
488,1066111549276856320
489,208660665
490,1252603560136568832
491,2603817426
492,4289437241
493,156658037
494,3215216950
495,2352039367
496,1249901151253925888
497,1161792073877643271
498,1419271801
499,1147508751500566529
500,429569347
501,245376253
502,700660006
503,417443041
504,1619600276
505,205737695
506,190820229
507,83756469
508,1059410003348652032
509,4921048149
510,3939548781
511,407126960
512,1187401798556012547
513,767845388
514,195929488
515,621235504
516,986029222404739072
517,164042957
518,856143439444021248
519,419943380
520,2540915268
521,1281675789621170177
522,741345507147165696
523,197670557
524,2316933988
525,4039994608
526,100014054
527,1120637604
528,1166174256
529,991393505560944640
530,849658484
531,475561327
532,132762269
533,1344241575711432704
534,1188639776544559106
535,1321500808647790595
536,1554266594
537,1199503866171215873
538,3828534383
539,1362336750438408193
540,1344668721642663938
541,880548677814808576
542,2149552530
543,2746838278
544,246431541
545,1118228443
546,193432157
547,1287986380308713472
548,999723150278443008
549,174094703
550,1291737836
551,1223058093908676608
552,202877974
553,4745170156
554,273698964
555,1258106551119884289
556,165544917
557,818879102195269632
558,733864428525998080
559,1100889438501130241
560,184589949
561,1247387760
562,492226910
563,790665319958319104
564,1008891593477251072
565,879535834516664320
566,1016636862
567,73797283
568,1247705434758287361
569,953610768582365184
570,64131750
571,2551924409
572,2960987861
573,194429808
574,2374424073
575,851169510824566785
576,176912858
577,1011384179840385025
578,54338577
579,305547601
580,535568675
581,134651846
582,150279664
583,180847336
584,1608850344
585,1281785786493534208
586,46367966
587,289685744
588,3347154485
589,89875741
590,2767961373
591,4842414623
592,4861163010
593,1261415517782507521
594,819792308
595,1446744576
596,307701809
597,2416376876
598,226365433
599,251881004
600,189269331
601,760133241441513472
602,3002420470
603,1103774230884294657
604,2914900821
605,7824352
606,170876848
607,2984716645
608,1299167053723688961
609,2583140046
610,840511843
611,155594140
612,120885742
613,1188115993291296775
614,1198744862
615,167567360
616,1443644600
617,139511358
618,161497051
619,341599340
620,2974051396
621,300919094
622,148066026
623,184169074
624,2552544702
625,228518150
626,155048609
627,167192685
628,618551775
629,1169148557309427712
630,187758027
631,91109368
632,2679109831
633,104639518
634,179290854
635,421417889
636,755296902
637,1267264754327990272
638,1570993106
639,967914730340995072
640,3196795904
641,291917336
642,604995476
643,153449654
644,1154961519186235393
645,1134352237
646,257669392
647,1262428442097864705
648,944101865641439232
649,1356463125315395585
650,1301884448
651,139116555
652,58255989
653,343143035
654,250684636
655,1095340499072765952
656,878216860164136960
657,180185008
658,1315716486
659,1073572449940312064
660,295664353
661,708679851968954369
662,254392419
663,764955600451239936
664,555560649
665,243504632
666,863610637
667,1200525091299299328
668,383412949
669,76338946
670,196435835
671,1090255778999463936
672,3342193571
673,3600750743
674,104662079
675,1202951216512282626
676,279426350
677,1104909408964882432
678,1140378048807784449
679,909534561784205312
680,3347413991
681,732717476073639937
682,1128717049734234113
683,382829308
684,44040084
685,1034508356436877313
686,325661487
687,3027273997
688,4360834402
689,990952746
690,1132249327
691,211164179
692,1101642770547204096
693,160017714
694,977372501901705222
695,256185014
696,2340210000
697,185977861
698,855510925180358661
699,462254161
700,460441436
701,796807787351277568
702,196342724
703,1295416386156666880
704,1261768982933262337
705,2208777577
706,1265778198899568647
707,2891423547
708,941444788406116352
709,1556206579
710,51833278
711,190828582
712,2285448786
713,175568773
714,413481176
715,135511112
716,289368262
717,1281932797624688641
718,959105629947383813
719,125802512
720,400550983
721,1006395997898059776
722,1237724031467560961
723,53093507
724,1432084152
725,218504591
726,26058467
727,332512121
728,27389440
729,141735808
730,888398644147257344
731,509309279
732,1054901136837218305
733,880919801551618049
734,132699963
735,2232318271
736,1344882610300997633
737,365308293
738,441443667
739,877297781823746048
740,2688886679
741,1549212204
742,911584430485118977
743,994395061
744,909808450741424129
745,198982201
746,572699492
747,1087468519
748,14102860
749,2888532544
750,139456874
751,1532240436
752,3005779293
753,1294340251985620992
754,2901731235
755,7802892
756,1732436408
757,836357806651490306
758,34330580
759,1084525988250353664
760,242105517
761,1349799414823604226
762,1313070755035467776
763,3379271843
764,157997877
765,864606221369737221
766,293714642
767,4202772262
768,1207682499721207809
769,329019840
770,119320260
771,1045749220458860544
772,1040258091269451776
773,520712143
774,40306562
775,1041125573236535296
776,382809022
777,158093455
778,4025904431
779,741300005798051840
780,8859932
781,1069304358519676928
782,942224411930910720
783,1042599949156999169
784,53158294
785,1207773979928399875
786,1097537909262045185
787,244104833
788,109266541
789,139689780
790,1258124173236453376
791,380848072
792,1292055535529926657
793,1034787009653604352
794,42642493
795,1688736084
796,155779487
797,242182408
798,359791727
799,1389614246
800,171305503
801,1671167712
802,2960854924
803,1344082345339609090
804,983110916513333248
805,192745328
806,392947130
807,41227025
808,1193168425771831297
809,1017582821479723008
810,3388441061
811,180860252
812,183279998
813,322237511
814,771161916941168640
815,711656542479781888
816,253227758
817,358357364
818,844772646
819,17971830
820,184647050
821,748669002982039553
822,4250911888
823,146637044
824,139204794
825,401362750
826,170674132
827,188410657
828,191965081
829,1163598032765669376
830,144674661
831,1224041249323307009
832,2284224133
833,1450215331
834,1095359794171596800
835,4610046136
836,231305027
837,815580721
838,1335973821376028673
839,891510511531167744
840,1321576572760064000
841,4229819405
842,258941579
843,1029818610682929153
844,1242586270053826562
845,1162141358720729089
846,1184836214068781057
847,875546161758842881
848,158120141
849,856924116
850,750460758916497408
851,1343226990
852,141744080
853,1041765370665869317
854,199581644
855,1137404225108025344
856,157491885
857,3193235002
858,2891580537
859,297765894
860,1438195184
861,320553098
862,595214967
863,154357452
864,1287904592571899904
865,61596652
866,242913913
867,578574284
868,2717005805
869,3167419863
870,1194018279658074112
871,1217912913173843973
872,359600992
873,1008896157748166656
874,492519780
875,1160668717069545474
876,225436555
877,380396879
878,1158440996893548545
879,40433343
880,16501229
881,1105196259332317184
882,976279352894771202
883,1032767658989707266
884,738545830307729408
885,1297933116129017857
886,281240600
887,1695384984
888,1183520368021200896
889,158517384
890,183392877
891,208789709
892,1068682785873952768
893,273110112
894,1258781084017360897
895,1305316308729434112
896,1678724041
897,137132027
898,31032576
899,5033321
900,1331454810508423169
