,comunidad_2
0,2287037757
1,2993376232
2,492688992
3,825507231328251905
4,3310931369
5,1351005671593009161
6,1078083942
7,828347484200169476
8,1298681535558823938
9,726028375173795840
10,3046244918
11,2383996573
12,359723186
13,199389735
14,878933890714542080
15,1862162257
16,783179886
17,4852145783
18,945732650937081856
19,103085639
20,2408066345
21,1266376462568796160
22,1367652718530199560
23,343745220
24,762779176642441216
25,1166868630
26,294407248
27,153866271
28,1167578827402424321
29,3346193687
30,1290776184389881856
31,1337125334370709506
32,2871459407
33,3342116337
34,1170699367990403072
35,1551855866
36,95082783
37,102751543
38,1254444450887188481
39,1309606708885557249
40,4211562814
41,772883379435999232
42,1314707677096927234
43,2169155118
44,2575488027
45,1303747874900054017
46,826127935237140483
47,978805113740578816
48,2852510109
49,52382916
50,1174080907
51,321691894
52,1144627808393711616
53,774386173288513538
54,619208578
55,2911156949
56,141465600
57,2329088433
58,787776260353167360
59,846120965415276544
60,2895280965
61,521867170
62,304709990
63,1355505800
64,1251483281129902080
65,1123776208414609408
66,1317894897932947456
67,891803580373585920
68,3436651055
69,1354923444341796864
70,1109928103818743808
71,723676722
72,1346083721229824003
73,438434725
74,1485596850
75,996011652301623302
76,1307951620966227968
77,1303004321076965383
78,2266920580
79,607738751
80,16294264
81,4203501581
82,4431636502
83,150454338
84,3035794271
85,941290754370088961
86,3289053168
87,346160587
88,153606450
89,3142505248
90,828109088
91,1327825580
92,215163261
93,157037806
94,2758888773
95,794765905
96,27413633
97,1142147723501690880
98,122113893
99,862123894035148800
100,167147663
101,4449481547
102,376154124
103,161498206
104,279742776
105,810285751
106,341097304
107,1283930748467240963
108,2570354866
109,1232718093283209216
110,497278258
111,2234353664
112,270078798
113,254300488
114,968637763527565317
115,1234869074
116,1161331415675559936
117,892154620579065856
118,3035981747
119,708047675556569093
120,1143502001587871746
121,784750381788196864
122,529504037
123,3092577730
124,1350849344606531585
125,71360442
126,581972927
127,3333786239
128,3319048491
129,1244370621955522561
130,378107142
131,780089524273737728
132,164897166
133,758207274
134,1293967560120172544
135,4179642077
136,2215748136
137,200710475
138,1182992361405767683
139,747512494684528640
140,2218188864
141,984918470537175040
142,603050359
143,599382747
144,1060723908
145,276277151
146,713924612954931200
147,935878448
148,2767875852
149,3002205297
150,161138044
151,196545899
152,131377288
153,320267011
154,274649627
155,232563468
156,706101706048868352
157,547450893
158,1219991648748392450
159,843573560
160,1302027517096796161
161,2769354418
162,577227886
163,3404769603
164,153855929
165,1662756524
166,184916059
167,1162811475586637824
168,2985646497
169,1183840444830113792
170,1283471219774414848
171,191584821
172,166378538
173,160494659
174,806169094869438464
175,327720447
176,149880990
177,153063801
178,1234387686460444672
179,145342355
180,2670150752
181,2645727525
182,1287310855
183,1247210229663764481
184,508193799
185,402346634
186,1366460393040805893
187,1006941426037477376
188,117756742
189,2287391528
190,880808942317830144
191,894710293686833153
192,701497621
193,150465622
194,495047473
195,949034803273326598
196,69665145
197,1356270436733100032
198,1559899970
199,1279674584468348930
200,250297107
201,1163107492718698497
202,776006222
203,3483393321
204,1428254352
205,850526425962741760
206,252168075
207,716386642404253697
208,35792589
209,3514376843
210,896527330910318592
211,855280679617089550
212,505022270
213,225273523
214,3406438935
215,289039317
216,131264577
217,75355018
218,968816832563023872
219,485820421
220,1173618827919339520
221,365173932
222,2424698726
223,1270131983285444609
224,139491250
225,1018505904
226,4835331933
227,154156113
228,1556844440
229,1185964409832792064
230,1070828803713306624
231,1027742658
232,577330138
233,1369084568830156805
234,998052028579565568
235,1146864267733413888
236,726956471351697410
237,94039492
238,2844315374
239,30039079
240,165144687
241,4078995195
242,1282677838466998272
243,1334703938
244,207157946
245,590506328
246,151206569
247,4250568112
248,162916850
249,151964625
250,1368583663
251,2585067387
252,870070648512679937
253,172946294
254,2450595025
255,154309333
256,2544249475
257,562920591
258,1140780902416637952
259,208712925
260,708320540788977665
261,1242198038988361728
262,749994673
263,1038365857
264,173120464
265,849264505486004224
266,104248838
267,1179162785151946760
268,2352253952
269,190354428
270,1684519747
271,615276389
272,172165949
273,825269610
274,124506500
275,2308914264
276,144289696
277,1849809876
278,1265820174
279,554798118
280,994109659
281,314336141
282,248265858
283,166733012
284,477338790
285,1106767294376620032
286,3403463410
287,118385157
288,1331261915780231171
289,4816742939
290,4321866322
291,157854134
292,191304841
293,2990230107
294,191180683
295,186797396
296,1276685982360899584
297,2806458211
298,1254194450965946368
299,1168965637236035584
300,1284663394885414912
301,2961608681
302,801525930166517760
303,1231455073861066752
304,2890278922
305,1308213733068595200
306,1236482335484370949
307,1327437460146708480
308,2521560155
309,96013509
310,145461175
311,1189697405404487680
312,127707347
313,3047343152
314,883102827178061825
315,586224444
316,560066442
317,317312978
318,1504487322
319,1321516422
320,1345715915275419648
321,225047887
322,2918597314
323,248842816
324,1239972069242105857
325,604738784
326,260963595
327,155963662
328,254321651
329,755772626
330,1233124619395178497
331,831257215
332,63527817
333,91372097
334,256016055
335,27063328
336,177233720
337,334644113
338,4433230581
339,609291358
340,1566199123
341,1290987170866569216
342,2656539978
343,521820456
344,2489165191
345,915935603405058049
346,3408691887
347,4706136083
348,1366566673873002499
349,4431335435
350,208218460
351,1542023767
352,2426060864
353,127629427
354,1262132234586394626
355,2284297460
356,2853729837
357,1144031254087704576
358,2799168417
359,915383952
360,1275837446
361,142867895
362,1023041182379720705
363,806827949471264768
364,1293157595637846016
365,792463772195647489
366,3711453496
367,1361098297709051909
368,1281029323483471872
369,97092060
370,1133944551998181377
371,1881474980
372,2675249912
373,2938194081
374,1264976820472025089
375,756543198927982592
376,2448129888
377,721052903151136768
378,1216419136949059584
379,4114721981
380,156456743
381,1916429852
382,1073025675106402306
383,701234388
384,162861099
385,155755391
386,2234781138
387,1373493192
388,1222015634587910144
389,720069131
390,203184569
391,1238965852948574211
392,244708610
393,4562666008
394,277757489
395,870738535
396,1534292318
397,1723102656
398,199425649
399,155040125
400,579005882
401,155697526
402,140937564
403,118189004
404,834798930
405,2718478968
406,195067716
407,4275669083
408,576528491
409,3072443493
410,294920086
411,2629647023
412,196580198
413,1308597775500742657
414,381231354
415,1363487143323131904
416,832362944663011328
417,2440893592
418,1015782133082853376
419,3449136437
420,1304914277371871232
421,529003583
422,1367628495552143373
423,4211549842
424,817639700
425,371229765
426,1181510613438214146
427,713069409179406336
428,4175618733
429,67803848
430,952272963709165568
431,187243160
432,349907106
433,3582918262
434,2729182391
435,1187864545357942785
436,919331631361679362
437,474423248
438,117159345
439,107515416
440,171508139
441,158530212
442,967966120794886144
443,596453791
444,136496903
445,210800518
446,201157717
447,936449378264453120
448,4083316167
449,57061623
450,1178336874043187200
451,149302694
452,381220932
453,1168829748614705153
454,306477872
455,3304200095
456,2230851626
457,2803327690
458,576132536
459,1223998376762650626
460,825150128004669440
461,1188708297853095936
462,96493978
463,108771163
464,1169323079614566400
465,245682783
466,1190872464
467,750434325947117568
468,3498926296
469,1562470099
470,2660025775
471,718219641009631232
472,933151130930032645
473,2582982846
474,4231345935
475,1095691424409047040
476,148911820
477,4861025052
478,2444494788
479,1287951481602297858
480,1187212225
481,4198183773
482,141255399
483,206852476
484,1001901679300829185
485,2223729387
486,4350561676
487,2237023385
488,1196786425523507200
489,138625713
490,118138450
491,1650966114
492,200477464
493,4659596247
494,1194655304727846912
495,36248417
496,172840381
497,305381768
498,2724247413
499,1305620813421465603
500,146571598
501,2803167867
502,774644438
503,1252757817448189955
504,3409600774
505,1056731482507624450
506,1241744205896208385
507,1298002546577952768
508,745862093035966464
509,988639865666441216
510,41362616
511,167498231
512,1300238490
513,443957372
514,152057929
515,1138122458286952448
516,244669203
517,275614861
518,1219604151027535872
519,1324982852
520,1602046422
521,135485201
522,944996670
523,743878819
524,756666044517867520
525,516081722
526,704437380808372227
527,195564245
528,995011659843428353
529,1055581588795351040
530,600979702
531,4516988123
532,1214959405130747905
533,83592019
534,135526996
535,384962523
536,904813567584677888
537,1205904163755954176
538,898885707040780290
539,353997166
540,310602518
541,1461101072
542,200675847
543,2752251088
544,1249733644027154432
545,1185228782002724864
546,165622218
547,1363817106031210496
548,123210901
549,1270843896994635777
550,166993945
551,1333493219179589635
552,1268711976198340608
553,293304123
554,36044876
555,1308513159171407880
556,60993797
557,1194380477123178497
558,1346242268391473163
559,146884482
560,283930504
561,975225716
562,938152415521640448
563,2874520876
564,1183591000595410944
565,1363604660288946181
566,403026855
567,151903484
568,1331336522482716672
569,2972429523
570,1302752021733429249
571,3405584403
572,370173172
573,1321509032
574,1095819112574537728
575,182829704
576,3000361174
577,104498094
578,2149143018
579,1165426912866590720
580,3042108008
581,948182384620556288
582,184096110
583,759273840
584,332928223
585,1063532689398120452
586,921215379736633344
587,932871942
588,234012880
589,200994082
590,1208919995327090688
591,934902884604563462
592,38481918
593,1196838522088558592
594,2885687913
595,1315097711495065601
596,1311124070461829120
597,996266856
598,873693833405640706
599,106222649
600,1158902213177171970
601,1852675026
602,1370121481942921220
603,949431267497598976
604,132147034
605,759404233267507201
606,1267132628114771969
607,1265204976
608,607587716
609,153385018
610,125537416
611,4203847403
612,513999574
613,117327352
614,1267513041509376003
615,43098768
616,1352010127818289154
617,931697515400921090
618,153316408
619,1246086887296700416
620,46907021
621,3346074022
622,150047702
623,848343618507206656
624,3006183016
625,1218187193128300544
626,2185805860
627,755153922399014912
628,1042378005031530497
629,1402514900
630,3867242177
631,160334695
632,1220526652062609408
633,988479168
634,7650242
635,195890979
636,136532276
637,2202214434
638,2400278845
639,1402695380
640,169849208
641,171131096
642,1003015970213040133
643,2716614483
644,1096529336394543105
645,1359474190223630338
646,1404260882
647,277512283
648,623265701
649,14351267
650,829175534978531328
651,1233264558707527681
652,1188123051835166720
653,205294540
654,1197329422279487489
655,702626612244844544
656,1271019132306284544
657,155688427
658,1923190490
659,1245425265305673729
660,1247644719468945409
661,2869526737
662,898318405895421952
663,867292999
664,15689980
665,3390418372
666,1368105080
667,925784142951997441
668,722212128
669,80332389
670,985177024510775298
671,1365761142845558791
672,226019892
673,743487665891336192
674,1104961756055642113
675,4234892896
676,2516850746
677,813756059571601408
678,919555703714525186
679,1022614463978131458
680,106473747
681,893432616
682,2374631185
683,135305006
684,144598281
685,1266791629941334017
686,2600634398
687,1285824378303852544
688,170431111
689,245934117
690,2506289909
691,3429240725
692,1940892230
693,193657472
694,4574906055
695,1255472385957990407
696,246261769
697,2344632733
698,1242887692913905670
699,180455133
700,185696583
701,2554600851
702,361603245
703,1099847313298780165
704,184331718
705,3310367745
706,574234530
707,803287686144557057
708,150025804
709,930703362533871618
710,1211090799724613632
711,787777234920673280
712,1249130156494663682
713,191958872
714,172338647
715,443289429
716,4205184322
717,1026561440
718,1185873416387284993
719,957304591003148290
720,373559492
721,1220454449229062153
722,1310919541766139904
723,92138339
724,1339581839581696003
725,350517909
726,37107884
727,1307349622197751813
728,1528192471
729,1245700333596291073
730,1189293417353887744
731,17875091
732,1273394168287629312
733,144935872
734,1259985696820989953
735,424644011
736,1696676450
737,2371103496
738,1307338749492297728
739,1306418901090283521
740,1277545891
741,446601256
742,166624044
743,1124466086349627393
744,181695566
745,1251486372029964288
746,325595733
747,1181197053260685312
748,328674528
749,882654591850041344
750,3428489151
751,1348294864723734529
752,271528654
753,1319692537561579522
754,4206406708
755,1292231470912864256
756,137202711
757,2963381308
758,817181617848459264
759,1189910821914198016
760,718137526783967233
761,32633053
762,171911594
763,1095853796285124609
764,857380643856101377
765,1328341256666308614
766,75600825
767,154289267
768,83822155
769,1261057230452994056
770,2278234402
771,155700835
772,1153444198395383809
773,4043248545
774,255732284
775,190428674
776,1266599011202600961
777,4262038000
778,2513666013
779,1174159312152879105
780,1326215907094487040
781,243940520
782,1571834425
783,1262511896982433803
784,3372409330
785,394183333
786,1250858428521734145
787,1145323703019982848
788,293147250
789,443800398
790,127908147
791,2256894974
792,720664682
793,1309096801
794,707295041123909633
795,749754911664005120
796,24706443
797,1151946852549500938
798,756313610545143808
799,1312190175309697024
800,1239738775758155776
801,1973193138
802,1205897942697218048
803,220435458
804,895878853784084482
805,1029609486
806,2354765227
807,1311811550529888256
808,2593855159
809,3787365555
810,1166475871793930241
811,199111599
812,57346107
813,1274343133455757313
814,155090816
815,805563495060303872
816,489993808
817,1365489987811241987
818,3051328745
819,1171465091406909441
820,2869225792
821,635918314
822,4895545481
823,202046457
824,1209862268202160130
825,3136673351
826,333852836
827,3029287121
828,1359698944733945856
829,1354261027
830,1276310472
831,1467466136
832,781199170665377793
833,318082202
834,189597740
835,240591645
836,4229244674
837,2699833321
838,1350441133
839,1072910682625064961
840,1452960025
841,1055881043008462854
842,471175733
843,83674599
844,247988305
845,416375428
846,2756736460
847,999002735520468992
848,3338099001
849,996873847658958848
850,1007234912
851,1333488467259625473
852,1193881304888156160
853,558223944
854,1179936546247598080
855,186682805
856,435162865
857,1043938531087982594
858,1586898096
859,627840971
860,1052644860241440768
861,252296214
862,1072463132495355904
863,1205653556050743299
864,828002856
865,2282591540
866,1328656860958830592
867,3108851163
868,516059062
869,1360669422
870,3703431441
871,4127058448
872,263928773
873,2818142401
874,1109155754517450753
875,3158145719
876,1185666134063931394
877,1193884635056549888
878,219874297
879,3349458881
880,724675029540192257
881,967966592
882,4461281957
883,1151414933235654656
884,2429040364
885,486495593
886,504637811
887,968851984810946560
888,1095117967229104128
889,1242161343752536069
890,865382719118872576
891,189898338
892,2450525748
893,928520096485658624
894,1262144998503571456
895,133391106
896,1309616688124628993
897,4540679362
898,145005103
899,3414029069
900,3991164082
901,1278097334723805184
902,344746354
903,4579301145
904,142786478
905,139584771
906,1969238724
907,1252586028713607168
908,1101984302022213638
909,2485739194
910,944600629124784129
911,36837073
912,1035218111539171328
913,105582494
914,32402857
915,389117314
916,941751490397573120
917,993451171
918,2817326659
919,47195439
920,972077837153914881
921,1305294873462005760
922,855954203533094913
923,185616425
924,627466374
925,426549048
926,355853331
927,2204996407
928,812129468701614080
929,749564454870904832
930,1564215823
931,17621963
932,1362291325
933,1076577125149356032
934,3291696566
935,938482212667822082
936,161517688
937,1182097101225971713
938,891097922477203456
939,1205323457724125185
940,2657391302
941,748530947465699329
942,1311406391035400192
943,894357463671218176
944,178895903
945,1344153944
946,213134247
947,182118549
948,1191423145586114570
949,168007252
950,1216725577073352705
951,1161321466996150275
952,50783665
953,4005824493
954,455295564
955,400171325
956,1153427473079705601
957,69301843
958,1074119489611018240
959,632357173
960,148989732
961,758712484404596736
962,745049140946669568
963,4441806437
964,3697409897
965,3018899183
966,903240108828221440
967,133360493
968,199154673
969,299325009
970,900774786736979969
971,2727793318
972,1046275248541368320
973,1885828939
974,1131414302584377346
975,316043614
976,1363280866315755521
977,1296849632920829955
978,2841646437
979,4400245941
980,1205886007482167304
981,515033240
982,173966328
983,2821921467
984,1311934952158699522
985,1202659501079445505
986,486350271
987,1186114165880098816
988,1084109135698898944
989,896466913102098432
990,2366340798
991,2986067752
992,160016315
993,2257166387
994,712275691224567808
995,1276375422297571329
996,371347243
997,837538567614169089
998,794114364
999,2848951167
1000,1058356804177006593
1001,2150048821
1002,170904071
1003,3309249226
1004,976441178
1005,1346998678511349760
1006,442493742
1007,992176710
1008,1019582139887771648
1009,718985982637383681
1010,1231730617861234688
1011,2258334746
1012,875809765
1013,332937334
1014,900869001240293376
1015,1257379549807075329
1016,892322162
1017,2440554210
1018,891710723339976708
1019,1222995868078551055
1020,138170245
1021,146662367
1022,1097888690989383680
1023,1182487403438788611
1024,844731368479297536
1025,1312779787
